NAV_PERMS,FA Manager 3,Clean_NAV,TO_CHAR(A.PORTAL_NAVPATH),ITEMLABEL,Unnamed: 2,Menu,Menubar,MENUITEM2,Page,Display only,Actions,7,OBJECTOWNERID,XLATLONGNAME,XLATSHORTNAME,COMPONENT,PNLNAME,PORTAL_OBJNAME
Main Menu>Financial Aid>Loans>Review Exception Messages:0:Update/Display,x,Main Menu>Financial Aid>Loans>Review Exception Messages,Main Menu>Financial Aid>Loans>Review Exception Messages,Ln Msg Wrk,,PROCESS_LOANS,INQUIRE,LN_MSG_INQ,LN_MSG_WRK,0,2,2,SFA,Financial Aid,Fin Aid,LN_MSG_INQ,LN_MSG_WRK,HC_LN_MSG_INQ_GBL
Main Menu>Financial Aid>Loans>Review Exception Messages:0:Update/Display,x,Main Menu>Financial Aid>Loans>Review Exception Messages,Main Menu>Financial Aid>Loans>Review Exception Messages,Loan Exception Messages,,PROCESS_LOANS,INQUIRE,LN_MSG_INQ,LN_MSG_INQ,0,2,2,SFA,Financial Aid,Fin Aid,LN_MSG_INQ,LN_MSG_INQ,HC_LN_MSG_INQ_GBL
Main Menu>Financial Aid>Loans>View Loan Transfer ID Records:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Loan Transfer ID Records,Main Menu>Financial Aid>Loans>View Loan Transfer ID Records,Loan Transfer &ID Table,,PROCESS_LOANS,INQUIRE,LN_XFER_ID_TBL,LN_XFER_ID_TBL,0,2,2,SFA,Financial Aid,Fin Aid,LN_XFER_ID_TBL,LN_XFER_ID_TBL,HC_LN_XFER_ID_TBL_GBL
Main Menu>Financial Aid>Loans>View Disbursement Status:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Disbursement Status,Main Menu>Financial Aid>Loans>View Disbursement Status,Loan &Disbursement,,PROCESS_LOANS,INQUIRE,LOAN_DISBURSEMENT,LOAN_DISBURSEMENT,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_DISBURSEMENT,LOAN_DISBURSEMENT,HC_LOAN_DISBURSEMENT_GBL
Main Menu>Financial Aid>Loans>View Disbursement Status:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Disbursement Status,Main Menu>Financial Aid>Loans>View Disbursement Status,Scc Sum Work,,PROCESS_LOANS,INQUIRE,LOAN_DISBURSEMENT,SCC_SUM_WORK,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_DISBURSEMENT,SCC_SUM_WORK,HC_LOAN_DISBURSEMENT_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions,&Direct Loan Orig Actions,,PROCESS_LOANS,INQUIRE,LOAN_DL_INQ01,LN_DL_ORIG_INQ,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_DL_INQ01,LN_DL_ORIG_INQ,HC_LOAN_DL_INQ01_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions,Direct &Loan Disbt Actions,,PROCESS_LOANS,INQUIRE,LOAN_DL_INQ01,LN_DL_DISB_INQ,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_DL_INQ01,LN_DL_DISB_INQ,HC_LOAN_DL_INQ01_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions,Direct Loan &SULA Response,,PROCESS_LOANS,INQUIRE,LOAN_DL_INQ01,SFA_DL_SULA_ACTN,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_DL_INQ01,SFA_DL_SULA_ACTN,HC_LOAN_DL_INQ01_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions,Ln Msg Wrk,,PROCESS_LOANS,INQUIRE,LOAN_DL_INQ01,LN_MSG_WRK,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_DL_INQ01,LN_MSG_WRK,HC_LOAN_DL_INQ01_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions,Loan &Exception Messages,,PROCESS_LOANS,INQUIRE,LOAN_DL_INQ01,LN_MSG_INQ,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_DL_INQ01,LN_MSG_INQ,HC_LOAN_DL_INQ01_GBL
