NAV_PERMS,FA Manager 3,Clean_NAV
Main Menu>Financial Aid>Print Batch Process Messages:0:Add Update/Display,x,Main Menu>Financial Aid>Print Batch Process Messages
Main Menu>Financial Aid>Financial Aid History>Application Information>View 2016-2017 Application:0:Add Update/Display,x,Main Menu>Financial Aid>Financial Aid History>Application Information>View 2016-2017 Application
Main Menu>Financial Aid>Financial Aid History>Application Information>View 2017-2018 Application:0:Add Update/Display,x,Main Menu>Financial Aid>Financial Aid History>Application Information>View 2017-2018 Application
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>INAS 2022-2023 Global Options:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>INAS 2022-2023 Global Options
Main Menu>Financial Aid>Institutional Application Data>Maintain Application 2022-2023:0:Add Update/Display,x,Main Menu>Financial Aid>Institutional Application Data>Maintain Application 2022-2023
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>INAS 2020-2021 Global Options:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>INAS 2020-2021 Global Options
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>INAS 2019-2020 Global Options:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>INAS 2019-2020 Global Options
Main Menu>Financial Aid>Budgets>Assign Budgets>Select Students:0:Add Update/Display,x,Main Menu>Financial Aid>Budgets>Assign Budgets>Select Students
Main Menu>Financial Aid>Budgets>Assign Budgets>Adjust Pell Budgets in Batch:0:Add Update/Display,x,Main Menu>Financial Aid>Budgets>Assign Budgets>Adjust Pell Budgets in Batch
Main Menu>Financial Aid>Verification>Perform Batch Verification:0:Add Update/Display,x,Main Menu>Financial Aid>Verification>Perform Batch Verification
Main Menu>Financial Aid>Verification>Perform Batch Consolidation:0:Add Update/Display,x,Main Menu>Financial Aid>Verification>Perform Batch Consolidation
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>NA 2024-2025 Global Options:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>NA 2024-2025 Global Options
Main Menu>Financial Aid>Budgets>Assign Budgets>Process Formula:0:Add Update/Display,x,Main Menu>Financial Aid>Budgets>Assign Budgets>Process Formula
Main Menu>Financial Aid>Budgets>Assign Budgets>Process Tuition:0:Add Update/Display,x,Main Menu>Financial Aid>Budgets>Assign Budgets>Process Tuition
Main Menu>Financial Aid>Budgets>Assign Budgets>Move Budget to Students:0:Add Update/Display,x,Main Menu>Financial Aid>Budgets>Assign Budgets>Move Budget to Students
Main Menu>Financial Aid>Budgets>Assign Budgets>Maintain Budget Work Table:0:Add Update/Display,x,Main Menu>Financial Aid>Budgets>Assign Budgets>Maintain Budget Work Table
Main Menu>Financial Aid>Budgets>Assign Budgets>Process Equation:0:Add Update/Display,x,Main Menu>Financial Aid>Budgets>Assign Budgets>Process Equation
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>INAS 2021-2022 Global Options:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>INAS 2021-2022 Global Options
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>NA 2023-2024 Global Options:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>NA 2023-2024 Global Options
Main Menu>Financial Aid>Return to Title IV Funds>Create Worksheet:0:Add Update/Display,x,Main Menu>Financial Aid>Return to Title IV Funds>Create Worksheet
Main Menu>Financial Aid>Awards>Award Processing>Assign Packaging Variables:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Assign Packaging Variables
Main Menu>Financial Aid>Awards>Award Processing>Assign Packaging Ratings:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Assign Packaging Ratings
Main Menu>Financial Aid>Awards>Mass Packaging>Assign Plans:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Mass Packaging>Assign Plans
Main Menu>Financial Aid>Awards>Mass Packaging>Process Mass Packaging:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Mass Packaging>Process Mass Packaging
Main Menu>Financial Aid>Awards>Mass Packaging>Select Students:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Mass Packaging>Select Students
Main Menu>Financial Aid>Disbursement>Process Award Authorizations:0:Add Update/Display,x,Main Menu>Financial Aid>Disbursement>Process Award Authorizations
Main Menu>Financial Aid>Awards>Self Service Awarding>Post Self Service Awards:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Self Service Awarding>Post Self Service Awards
Main Menu>Financial Aid>Awards>Award Processing>Process Pell Schedule Test:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Process Pell Schedule Test
Main Menu>Financial Aid>Disbursement>Process Disbursements:0:Add Update/Display,x,Main Menu>Financial Aid>Disbursement>Process Disbursements
Main Menu>Financial Aid>Awards>Notification Letter>Award Notification Batch:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Notification Letter>Award Notification Batch
Main Menu>Financial Aid>Ability to Benefit>Create Ability to Benefit:0:Add Update/Display,x,Main Menu>Financial Aid>Ability to Benefit>Create Ability to Benefit
Main Menu>Financial Aid>Awards>External Awards>Load External Awards:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>Load External Awards
Main Menu>Financial Aid>Awards>External Awards>Process External Award File:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>Process External Award File
Main Menu>Financial Aid>Disbursement>Process User Edit Messages:0:Add Update/Display,x,Main Menu>Financial Aid>Disbursement>Process User Edit Messages
Main Menu>Financial Aid>Awards>Aggregates>Update Pell Percent Used:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Aggregates>Update Pell Percent Used
Main Menu>Financial Aid>Awards>Repackaging>Process Batch Repackaging:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Repackaging>Process Batch Repackaging
Main Menu>Financial Aid>Awards>Repackaging>Assign Repackaging Plans:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Repackaging>Assign Repackaging Plans
Main Menu>Financial Aid>Awards>Repackaging>Select Students to Repackage:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Repackaging>Select Students to Repackage
Main Menu>Financial Aid>Awards>Award Processing>Update School Code:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Update School Code
Main Menu>Financial Aid>Awards>Aggregates>Assign Aggregate Source:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Aggregates>Assign Aggregate Source
Main Menu>Financial Aid>Awards>Self Service Awarding>Assign Self Service Access:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Self Service Awarding>Assign Self Service Access
Main Menu>Financial Aid>Awards>Award Processing>Batch Expire Anticipated Aid:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Batch Expire Anticipated Aid
Main Menu>Financial Aid>Fund Management>FA801 Award Data by Item Type:0:Add Update/Display,x,Main Menu>Financial Aid>Fund Management>FA801 Award Data by Item Type
Main Menu>Financial Aid>Fund Management>Fund Roster:0:Add Update/Display,x,Main Menu>Financial Aid>Fund Management>Fund Roster
Main Menu>Financial Aid>Return to Title IV Funds>Return of TIV Aid Report:0:Add Update/Display,x,Main Menu>Financial Aid>Return to Title IV Funds>Return of TIV Aid Report
Main Menu>Financial Aid>Financial Aid Term>FA Term Census Report:0:Add Update/Display,x,Main Menu>Financial Aid>Financial Aid Term>FA Term Census Report
Main Menu>Financial Aid>Awards>Mass Packaging>Mass Packaging Detail Report:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Mass Packaging>Mass Packaging Detail Report
Main Menu>Financial Aid>Disbursement>Reconciliation Report:0:Add Update/Display,x,Main Menu>Financial Aid>Disbursement>Reconciliation Report
Main Menu>Financial Aid>Disbursement>Authorization Failure Report:0:Add Update/Display,x,Main Menu>Financial Aid>Disbursement>Authorization Failure Report
Main Menu>Financial Aid>Awards>Generate Over Award Report:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Generate Over Award Report
Main Menu>Financial Aid>Fund Management>Generate FISAP Reports>FISAP Report 2015-2016:0:Add Update/Display,x,Main Menu>Financial Aid>Fund Management>Generate FISAP Reports>FISAP Report 2015-2016
Main Menu>Set Up SACR>Product Related>Financial Aid>Student Eligibility Codes:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Student Eligibility Codes
Main Menu>Financial Aid>Return to Title IV Funds>Return TIV Session:0:Add Update/Display,x,Main Menu>Financial Aid>Return to Title IV Funds>Return TIV Session
Main Menu>Financial Aid>Ability to Benefit>Manage Ability to Benefit:0:Add Update/Display,x,Main Menu>Financial Aid>Ability to Benefit>Manage Ability to Benefit
Main Menu>Financial Aid>Awards>Need Summary Validation:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Need Summary Validation
Main Menu>Financial Aid>Awards>Aggregates>Update Incoming Aggregates:0:Add Update/Display,x,Main Menu>Financial Aid>Awards>Aggregates>Update Incoming Aggregates
Main Menu>Financial Aid>Loans>Manage Loan Counseling Data:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Manage Loan Counseling Data
Main Menu>Financial Aid>File Management>Commonline Loans>Process CL 4 Outbound Records:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Process CL 4 Outbound Records
Main Menu>Financial Aid>File Management>Direct Loans>Generate Phase-In Data:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Direct Loans>Generate Phase-In Data
Main Menu>Financial Aid>Loans>Create PNote Communication:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Create PNote Communication
Main Menu>Financial Aid>Loans>Print Promissory Note:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Print Promissory Note
Main Menu>Financial Aid>File Management>Direct Loans>Import Phase-In Data:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Direct Loans>Import Phase-In Data
Main Menu>Financial Aid>File Management>Direct Loans>Generate Direct Loan Manifest:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Direct Loans>Generate Direct Loan Manifest
Main Menu>Financial Aid>File Management>Commonline Loans>Rename Outbound Files:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Rename Outbound Files
Main Menu>Financial Aid>File Management>Loan Counseling>Process COD Counseling Data:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Loan Counseling>Process COD Counseling Data
Main Menu>Financial Aid>Loans>Commonline Management>Validate CRC Loans:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Validate CRC Loans
Main Menu>Financial Aid>Loans>Process Loan Dates:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Process Loan Dates
Main Menu>Financial Aid>File Management>COD Full Participant>Import COD Response Data:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>COD Full Participant>Import COD Response Data
Main Menu>Financial Aid>File Management>Commonline Loans>Process CRC Inbound Files:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Process CRC Inbound Files
Main Menu>Financial Aid>File Management>Commonline Loans>Inbound CRC XML Files:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Inbound CRC XML Files
Main Menu>Financial Aid>File Management>Commonline Loans>Process CRC Outbound Records:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Process CRC Outbound Records
Main Menu>Financial Aid>File Management>COD Full Participant>Generate Direct Loan Data:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>COD Full Participant>Generate Direct Loan Data
Main Menu>Financial Aid>File Management>Loan Counseling>Process Exit Counseling Data:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Loan Counseling>Process Exit Counseling Data
Main Menu>Financial Aid>File Management>Loan Counseling>Add Loan Counseling Data:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Loan Counseling>Add Loan Counseling Data
Main Menu>Financial Aid>Loans>Print Perkins MPN:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Print Perkins MPN
Main Menu>Financial Aid>Loans>DL School Account Summary>Generate DLSAS Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>DL School Account Summary>Generate DLSAS Report
Main Menu>Financial Aid>Loans>DL School Account Summary>Generate Reconciliation Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>DL School Account Summary>Generate Reconciliation Report
Main Menu>Financial Aid>Loans>Direct Lending Management>Print Manifest Report - PLUS:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Print Manifest Report - PLUS
Main Menu>Financial Aid>Loans>Direct Lending Management>Print Manifest Report-Stafford:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Print Manifest Report-Stafford
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Accepted Originations Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Accepted Originations Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Loans on Hold Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Loans on Hold Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>PLUS Credit Decisions Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>PLUS Credit Decisions Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Rejected Originations Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Rejected Originations Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Origination Export Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Origination Export Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Origination Changes Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Origination Changes Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Validation Errors Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Validation Errors Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Disbursement Errors Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Disbursement Errors Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Disbursement Status Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Disbursement Status Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Disbursement Booking Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Disbursement Booking Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Origination Auth Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Origination Auth Report
Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Disbursement Exception Summary:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Reconciliation>Disbursement Exception Summary
Main Menu>Financial Aid>Loans>Commonline Reconciliation>Loans on Hold Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Reconciliation>Loans on Hold Report
Main Menu>Financial Aid>Loans>Commonline Reconciliation>Validation Error Report:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Reconciliation>Validation Error Report
Main Menu>Financial Aid>File Management>Commonline Loans>CL 4 Load Error Report:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>CL 4 Load Error Report
Main Menu>Financial Aid>Loans>Commonline Reconciliation>CL4 Certification Request Rpt:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Reconciliation>CL4 Certification Request Rpt
Main Menu>Financial Aid>Loans>Commonline Reconciliation>CL4 EFT Discrepancy Reports:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Reconciliation>CL4 EFT Discrepancy Reports
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Loan Attended Routing ID:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Loan Attended Routing ID
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Create CRC Search Match Setup:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Create CRC Search Match Setup
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Identify Self Service Lenders:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Identify Self Service Lenders
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Loan Counseling>Define Loan Counseling Options:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Loan Counseling>Define Loan Counseling Options
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Loan Counseling>Set DL Loan Counseling Search:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Loan Counseling>Set DL Loan Counseling Search
Main Menu>Financial Aid>Loans>Commonline Management>Maintain Student MPN Usage:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Maintain Student MPN Usage
Main Menu>Financial Aid>Loans>Direct Lending Management>Create Signatures In Batch:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Create Signatures In Batch
Main Menu>Financial Aid>Loans>DL School Account Summary>Manage DL Cash Transactions:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>DL School Account Summary>Manage DL Cash Transactions
Main Menu>Financial Aid>Loans>Commonline Management>View CRC Loan Participants:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>View CRC Loan Participants
Main Menu>Financial Aid>File Management>Commonline Loans>Inbound EC Agent:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Inbound EC Agent
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Copy Loan Report Definitions:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Copy Loan Report Definitions
Main Menu>Financial Aid>Loans>Commonline Management>Validate CL 4 Loans:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Validate CL 4 Loans
Main Menu>Financial Aid>File Management>Commonline Loans>Outbound EC Agent:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Outbound EC Agent
Main Menu>Financial Aid>Loans>Commonline Management>Process Hold and Release:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Process Hold and Release
Main Menu>Financial Aid>File Management>Commonline Loans>Process CL 4 Inbound Files:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Process CL 4 Inbound Files
Main Menu>Financial Aid>Loans>Process Loans:0:Add Update/Display,x,Main Menu>Financial Aid>Loans>Process Loans
Main Menu>Financial Aid>File Management>COD Full Participant>Generate ACG/SMART Data:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>COD Full Participant>Generate ACG/SMART Data
Main Menu>Financial Aid>File Management>COD Full Participant>Generate Pell Data:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>COD Full Participant>Generate Pell Data
Main Menu>Financial Aid>Pell Payment>Cash Management Reports>Print Grant ESOA:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Cash Management Reports>Print Grant ESOA
Main Menu>Financial Aid>Pell Payment>Multiple Reporting>MRR by Status:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Multiple Reporting>MRR by Status
Main Menu>Financial Aid>Pell Payment>Multiple Reporting>MRR by Batch:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Multiple Reporting>MRR by Batch
Main Menu>Financial Aid>Pell Payment>Origination Reports>Origination Import and Export:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Origination Reports>Origination Import and Export
Main Menu>Financial Aid>Pell Payment>Origination Reports>Origination Status:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Origination Reports>Origination Status
Main Menu>Financial Aid>Pell Payment>Origination Reports>Rejected Origination by Batch:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Origination Reports>Rejected Origination by Batch
Main Menu>Financial Aid>Pell Payment>Origination Reports>Originations by Batch:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Origination Reports>Originations by Batch
Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Rejected Disbursement by Batch:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Rejected Disbursement by Batch
Main Menu>Financial Aid>Pell Payment>Origination Reports>Transaction Status:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Origination Reports>Transaction Status
Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Disbursement Records:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Disbursement Records
Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Disbursements by Status:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Disbursements by Status
Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Disbursement Acknowledgement:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Disbursement Acknowledgement
Main Menu>Financial Aid>Pell Payment>Origination Reports>Origination Acknowledgement:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Origination Reports>Origination Acknowledgement
Main Menu>Financial Aid>Pell Payment>Origination Reports>Records With No Origination:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Origination Reports>Records With No Origination
Main Menu>Financial Aid>Pell Payment>Year To Date Reports>YTD Disbursements:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Year To Date Reports>YTD Disbursements
Main Menu>Financial Aid>Pell Payment>Year To Date Reports>YTD Originations:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Year To Date Reports>YTD Originations
Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Disbursements by Batch:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Disbursements by Batch
Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Disbursements by Action Code:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Disbursement Reports>Disbursements by Action Code
Main Menu>Financial Aid>Pell Payment>Multiple Reporting>MRR Report:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Multiple Reporting>MRR Report
Main Menu>Financial Aid>Pell Payment>Origination Reports>Originations by Action Code:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Origination Reports>Originations by Action Code
Main Menu>Financial Aid>Pell Payment>Cash Management Reports>Cash Summary:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Cash Management Reports>Cash Summary
Main Menu>Financial Aid>File Management>Pell Grants>Create Pell Data Request:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Pell Grants>Create Pell Data Request
Main Menu>Financial Aid>Pell Payment>Originate Pell Payment:0:Add Update/Display,x,Main Menu>Financial Aid>Pell Payment>Originate Pell Payment
Main Menu>Financial Aid>File Management>COD Full Participant>Import FWS Response Data:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>COD Full Participant>Import FWS Response Data
Main Menu>Financial Aid>File Management>COD Full Participant>Generate Federal Work Study:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>COD Full Participant>Generate Federal Work Study
Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>Define Mass Packaging Query:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>Define Mass Packaging Query
Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>Define INST Packaging Query:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>Define INST Packaging Query
Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>Run INST Mass Packaging Select:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>Run INST Mass Packaging Select
Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>Run INST Mass Packaging Assign:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>Run INST Mass Packaging Assign
Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>Process INST Mass Packaging:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>Process INST Mass Packaging
Main Menu>Financial Aid>Satisfactory Academic Progress>Process SAP:0:Add Update/Display,x,Main Menu>Financial Aid>Satisfactory Academic Progress>Process SAP
Main Menu>Financial Aid>Satisfactory Academic Progress>Create SAP Communications:0:Add Update/Display,x,Main Menu>Financial Aid>Satisfactory Academic Progress>Create SAP Communications
Main Menu>Set Up SACR>Product Related>Financial Aid>Satisfactory Academic Progress>Define SAP AE Library:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Satisfactory Academic Progress>Define SAP AE Library
Main Menu>Set Up SACR>Product Related>Financial Aid>Satisfactory Academic Progress>Define Evaluation Terms:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Satisfactory Academic Progress>Define Evaluation Terms
Main Menu>CAL Components>Utilities>Import/Export Service>Import>Import (Batch):0:Add Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Import>Import (Batch)
Main Menu>CAL Components>Utilities>Import/Export Service>Review Logs/Locks>Review Processing Locks:0:Add Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Review Logs/Locks>Review Processing Locks
Main Menu>CAL Components>Utilities>Import/Export Service>Reports>Exports and Reports:0:Add Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Reports>Exports and Reports
Main Menu>CAL Components>Utilities>Import/Export Service>Review Logs/Locks>Review FTP Session Logs:0:Add Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Review Logs/Locks>Review FTP Session Logs
Main Menu>CAL Components>Utilities>Import/Export Service>Process>Attachment Archive/Restore:0:Add Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Process>Attachment Archive/Restore
Main Menu>CAL Components>Utilities>Import/Export Service>Export>Export (Batch):0:Add Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Export>Export (Batch)
Main Menu>CAL Components>Utilities>Import/Export Service>Process>Process Reset:0:Add Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Process>Process Reset
Main Menu>CAL Components>Utilities>Import/Export Service>Process>Errors From Message Mapping:0:Add Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Process>Errors From Message Mapping
Main Menu>CAL Components>Financial Aid>ISIR QA Verification>Batch IM Remove Auto Zero:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>ISIR QA Verification>Batch IM Remove Auto Zero
Main Menu>CAL Components>Financial Aid>Reporting>Load CA ISIR Reporting Table:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>Reporting>Load CA ISIR Reporting Table
Main Menu>CAL Components>Financial Aid>Reporting>Haas Data File:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>Reporting>Haas Data File
Main Menu>CAL Components>Financial Aid>Reporting>FASO UCOP Data File:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>Reporting>FASO UCOP Data File
Main Menu>CAL Components>Financial Aid>Reporting>Load ISIR Reporting Table:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>Reporting>Load ISIR Reporting Table
Main Menu>CAL Components>Financial Aid>Reporting>Law Data File:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>Reporting>Law Data File
Main Menu>CAL Components>Financial Aid>Personal Profile>Housing Table:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>Personal Profile>Housing Table
