NAV_PERMS,FA Manager 3,Clean_NAV
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 16/17:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 16/17
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 17/18:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 17/18
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>GPA Calc Batch Process Details:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>GPA Calc Batch Process Details
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Look Up by Stdnt:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Look Up by Stdnt
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Change Files:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Change Files
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Roster Batch:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Use>MCS Roster Batch
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Setup>Cal Grant Adjustment Rsn Code:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Setup>Cal Grant Adjustment Rsn Code
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Setup>Cal Grant Installation Table:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Setup>Cal Grant Installation Table
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Setup>Cal Grant Pay Status Code:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Setup>Cal Grant Pay Status Code
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Setup>Cal Grant Load Parameters:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Setup>Cal Grant Load Parameters
