Menu,Menubar,MENUITEM2,Page,Display only,Actions,7
ESTABLISH_COURSES,SETUP,ENROLLMENT_REQUIREMENTS,REQUIREMENT,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_REQUIREMENTS,CRSESHARE_WRK,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_REQUIREMENTS,CRSE_RQRMNT_PARM,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_REQUIREMENTS,REQUIREMENT_LINE_ITEM,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_REQUIREMENTS,REQUIREMENT_LINE_ITEM_DETAIL,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_REQUIREMENTS,CRSE_RQ_LINE_PARM,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_REQUIREMENT_GROUPS,COURSE_REQUIS/RESTRICT,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_REQUIREMENT_GROUPS,REQUIS/RESTRICT_PARAMETERS,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_REQUIREMENT_GROUPS,REQUIS/RESTRICT_DETAIL,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_REQUIREMENT_GROUPS,CRSE_RQS_DET_PRM,0,6,6
ESTABLISH_COURSES,SETUP,SSR_REQ_COND_TEST,SSR_REQ_COND_TEST,0,6,6
ESTABLISH_COURSES,SETUP,SSR_REQ_RPT_TYPE,SSR_ENR_RPT_TYPE,0,6,6
ESTABLISH_COURSES,SETUP,SSR_RQ_CONDITION,RQ_CONDITION,0,6,6
ESTABLISH_COURSES,SETUP,SSR_RQ_ENTITY_GRP,AA_IN_CONDITION1,0,6,6
ESTABLISH_COURSES,SETUP,SSR_VALID_STDNT_GR,SSR_VALID_STDNT_GR,0,6,6
ESTABLISH_COURSES,USE,COURSE_CATALOG,CRSE_OFFER_GL,0,6,6
ESTABLISH_COURSES,USE,COURSE_CATALOG,COURSE_CATALOG_DATA,0,6,6
ESTABLISH_COURSES,USE,COURSE_CATALOG,COURSE_CATALOG_OFFERINGS,0,6,6
ESTABLISH_COURSES,USE,COURSE_CATALOG,COURSE_CATALOG_COMPONENTS,0,6,6
ESTABLISH_COURSES,USE,COURSE_CATALOG,SSR_CRSECAT_MODAL,0,6,6
ESTABLISH_COURSES,USE,COURSE_CATALOG,SSR_CRS_MILESTN,0,6,6
ESTABLISH_COURSES,USE,COURSE_CATALOG,SSR_CRS_CAT_NZL,0,6,6
